,vendorid,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,Duration
205,2,1,1.45,1,N,170,170,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,8
206,2,1,1.64,1,N,146,226,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,9
207,2,1,1.41,1,N,231,148,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,9
208,2,1,8.49,1,N,138,256,1,26.0,0.5,0.5,8.19,0.0,0.3,35.49,21
209,1,2,12.8,1,N,132,188,1,40.5,0.5,0.5,8.35,0.0,0.3,50.15,37
210,2,1,1.02,1,N,48,142,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8,4
211,2,2,1.03,1,N,68,68,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,4
212,2,4,13.05,5,N,132,265,2,75.0,0.0,0.0,0.0,0.0,0.3,75.3,27
213,2,1,0.45,1,N,114,79,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,3
214,1,2,20.4,2,N,132,239,1,52.0,0.0,0.5,14.6,5.76,0.3,73.16,35
215,2,4,1.2,1,N,261,45,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,7
216,1,1,1.1,1,N,79,148,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,5
217,1,1,7.7,1,N,238,220,1,22.5,0.5,0.5,4.36,5.28,0.3,33.44,13
218,1,1,1.9,1,N,68,233,1,9.5,0.5,0.5,3.2,0.0,0.3,14.0,12
219,2,1,1.29,1,N,42,41,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,6
220,2,5,2.17,1,N,163,262,1,9.0,0.5,0.5,1.8,0.0,0.3,12.1,9
221,2,1,1.28,1,N,234,79,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,8
222,2,1,21.59,2,N,132,142,1,52.0,0.0,0.5,7.0,5.76,0.3,65.56,35
223,2,1,11.52,1,N,132,188,2,34.5,0.5,0.5,0.0,0.0,0.3,35.8,29
224,2,1,5.16,1,N,234,226,1,18.5,0.5,0.5,4.95,0.0,0.3,24.75,21
225,1,1,1.3,1,N,137,186,1,11.0,0.5,0.5,0.0,0.0,0.3,12.3,16
